"Sweep","GRF0SumVN","GRF0SumMLN","GRF0SumHzN"
24314,-0.0346195351648352,-0.0306503244755245,0.0321403216783217
24315,-0.0339232351648352,-0.0293197244755245,0.0274783216783217
24316,-0.0318343351648352,-0.0279891244755245,0.0243703216783217
24317,-0.0290491351648352,-0.0266585244755245,0.0228163216783217
24318,-0.0269602351648352,-0.0226667244755245,0.0150463216783217
24319,-0.0269602351648352,-0.0200055244755245,0.0103843216783217
24320,-0.0241750351648352,-0.0173443244755245,0.00883032167832168
24321,-0.0220861351648352,-0.0120219244755245,0.00261432167832168
24322,-0.0193009351648352,-0.00936072447552447,-0.00204767832167832
24323,-0.0158194351648352,-0.00536892447552448,-0.00515567832167832
24324,-0.0144268351648352,-0.00403832447552448,-0.00826367832167832
24325,-0.0130342351648352,-0.00270772447552448,-0.00826367832167832
24326,-0.0137305351648352,-0.00137712447552448,-0.0129256783216783
24327,-0.0123379351648352,-0.00270772447552448,-0.0144796783216783
24328,-0.0123379351648352,-0.00137712447552448,-0.0160336783216783
24329,-0.0123379351648352,-0.00270772447552448,-0.0144796783216783
24330,-0.0123379351648352,-0.00270772447552448,-0.0175876783216783
24331,-0.0116416351648352,-0.00137712447552448,-0.0160336783216783
24332,-0.0123379351648352,-0.00403832447552448,-0.0175876783216783
24333,-0.0130342351648352,-0.00270772447552448,-0.0160336783216783
24334,-0.0137305351648352,-0.00536892447552448,-0.0129256783216783
24335,-0.0130342351648352,-0.00536892447552448,-0.00981767832167832
24336,-0.0130342351648352,-0.00536892447552448,-0.00670967832167832
24337,-0.0151231351648352,-0.00803012447552448,-0.00515567832167832
24338,-0.0186046351648352,-0.0133525244755245,0.00106032167832168
24339,-0.0186046351648352,-0.0160137244755245,0.00572232167832168
24340,-0.0199972351648352,-0.0173443244755245,0.0119383216783217
24341,-0.0206935351648352,-0.0226667244755245,0.0150463216783217
24342,-0.0234787351648352,-0.0226667244755245,0.0181543216783217
24343,-0.0241750351648352,-0.0279891244755245,0.0243703216783217
24344,-0.0255676351648352,-0.0279891244755245,0.0274783216783217
24345,-0.0248713351648352,-0.0279891244755245,0.0274783216783217
24346,-0.0227824351648352,-0.0253279244755245,0.0274783216783217
24347,-0.0186046351648352,-0.0213361244755245,0.0212623216783217
24348,-0.0151231351648352,-0.0146831244755245,0.0166003216783217
24349,-0.00467863516483517,-0.00403832447552448,0.00883032167832168
24350,0.00576586483516483,0.00793707552447552,-0.00360167832167832
24351,0.0155140648351648,0.0145900755244755,-0.0113716783216783
24352,0.0217807648351648,0.0239042755244755,-0.0206956783216783
24353,0.0259585648351648,0.0265654755244755,-0.0269116783216783
24354,0.0273511648351648,0.0292266755244755,-0.0253576783216783
24355,0.0301363648351648,0.0278960755244755,-0.0206956783216783
24356,0.0294400648351648,0.0278960755244755,-0.0206956783216783
24357,0.0280474648351648,0.0278960755244755,-0.0206956783216783
24358,0.0273511648351648,0.0252348755244755,-0.0175876783216783
24359,0.0259585648351648,0.0252348755244755,-0.0113716783216783
24360,0.0266548648351648,0.0239042755244755,-0.00670967832167832
24361,0.0259585648351648,0.0199124755244755,-0.00204767832167832
24362,0.0231733648351648,0.0159206755244755,0.00572232167832168
24363,0.0203881648351648,0.0119288755244755,0.00883032167832168
24364,0.0176029648351648,0.00926767552447552,0.0134923216783217
24365,0.0162103648351648,0.00527587552447552,0.0150463216783217
24366,0.0155140648351648,0.00660647552447552,0.0181543216783217
24367,0.0155140648351648,0.00527587552447552,0.0166003216783217
24368,0.0155140648351648,0.00527587552447552,0.0166003216783217
24369,0.0127288648351648,0.00394527552447552,0.0181543216783217
