PercentStance,InterpV_N,InterpML_N,InterpAP_N,GRF_Vert_Sq,NetGRF_N,MLAngle_deg,MLAngle_Convert_deg,APAngle_deg,APAngle_Convert_deg,InterpV_BW,InterpML_BW,InterpAP_BW,NetGRF_BW,filename
24,0.238711092,-0.081294622,0.098857057,0.056982985,0.270858853,108.8066112,-18.80661119,67.504162,22.495838,0.369064767,-0.125687418,0.152840224,0.418767553,af06f46
23,0.22285309,-0.033654956,0.095191314,0.0496635,0.24465801,98.58783283,-8.587832826,66.87033252,23.12966748,0.379001853,-0.057236319,0.16188999,0.416085051,af06f51
32,0.188658089,-0.06993405,0.169161939,0.035591875,0.26286576,110.3393416,-20.33934159,48.11872893,41.88127107,0.320847091,-0.118935458,0.287690373,0.447050612,af06f54
31,0.088604088,-0.00146236,0.151699194,0.007850684,0.175685709,90.94554834,-0.945548341,30.28824001,59.71175999,0.153241246,-0.002529159,0.262364569,0.303849376,af06f56
24,0.232321217,-0.083251863,0.130522724,0.053973148,0.279177726,109.7150436,-19.71504356,60.67184827,29.32815173,0.401800791,-0.143984544,0.225739752,0.482839373,af06f59
24,0.169492741,-0.020383444,0.116957137,0.028727789,0.206935366,96.8575406,-6.857540597,55.39268805,34.60731195,0.293138604,-0.035253275,0.202277995,0.357895825,af06f61
43,0.240856501,-0.034307915,0.080083443,0.058011854,0.256129352,98.10675202,-8.10675202,71.6083216,18.3916784,0.41656261,-0.059335724,0.138504744,0.442977088,af06f63
28,0.216042677,-0.075472453,0.168474423,0.046674438,0.284172766,109.2563756,-19.25637564,52.052178,37.947822,0.373646968,-0.130530013,0.291377418,0.491478322,af07f02
53,0.059148932,-0.013388287,0.119697254,0.003498596,0.134183735,102.7539165,-12.75391655,26.29648536,63.70351464,0.102298394,-0.023155114,0.207017042,0.23207149,af07f06
27,0.15965689,-0.035135615,0.042307824,0.025490323,0.168863217,102.4112177,-12.41121766,75.15819285,14.84180715,0.276127447,-0.060767234,0.073171608,0.292049838,af07f08
23,0.109816485,-0.057122088,0.007515785,0.01205966,0.12401242,117.4816246,-27.48162456,86.08481076,3.915189243,0.1899282,-0.098792957,0.012998591,0.214480145,af07f11
25,0.195420667,-0.086592106,0.151778214,0.038189237,0.262152735,113.8984283,-23.8984283,52.1644305,37.8355695,0.349840077,-0.155016302,0.271711804,0.469303141,af07f17
100,-0.095553672,0.019145688,-0.044270896,0.009130504,0.107037255,78.66991627,11.33008373,114.8587236,-24.85872362,-0.171059206,0.034274415,-0.079253305,0.191616997,af07f22
34,0.056732198,0.009076283,0.132047082,0.003218542,0.144004698,80.91057834,9.089421663,23.25010803,66.74989197,0.105254542,0.016839115,0.244985309,0.267170126,af07f32
21,0.168371284,-0.030231351,0.069626555,0.028348889,0.184690772,100.1790925,-10.17909253,67.53344412,22.46655588,0.312377151,-0.05608785,0.129177282,0.342654493,af07f49
29,0.161856117,-0.028270796,0.094857103,0.026197403,0.189722193,99.90768862,-9.907688621,59.62721555,30.37278445,0.289753163,-0.05061009,0.169812215,0.339638727,af07f51
24,0.182218248,-0.096818081,0.118248115,0.03320349,0.237823143,117.9830637,-27.9830637,57.01897971,32.98102029,0.326205241,-0.173322738,0.211686564,0.425748555,af07f53
35,0.073178176,0.016126292,0.11375208,0.005355045,0.136215412,77.5723489,12.4276511,32.75369768,57.24630232,0.131002821,0.028869124,0.203637809,0.243851436,af07f57
20,0.20267759,-0.092299734,0.083390498,0.041078206,0.237805428,114.4846037,-24.48460373,67.63557325,22.36442675,0.362831347,-0.165234038,0.149284816,0.425716842,af07f59
24,0.1847109,-0.07839912,0.100736591,0.034118116,0.224527057,112.9984218,-22.99842175,61.3930806,28.6069194,0.342691836,-0.145452914,0.186895346,0.416562258,af07f61
30,0.029877858,-0.011530339,0.073632315,0.000892686,0.080295411,111.1023924,-21.10239238,22.08588768,67.91411232,0.055432019,-0.021392095,0.136609119,0.148971078,pw01f05
22,0.029533912,-0.018536732,0.056017348,0.000872252,0.065983374,122.1141195,-32.11411952,27.79945179,62.20054821,0.12054658,-0.07566013,0.228642237,0.269319895,pw01f09
70,-0.00477221,-0.004129455,0.053667135,2.28E-05,0.054036911,130.8700587,-40.87005874,5.08151247,84.91848753,-0.019478408,-0.016854918,0.219049529,0.22055882,pw01f14
39,0.080763605,-0.008693413,0.031342887,0.00652276,0.087067284,96.14367606,-6.143676063,68.78967209,21.21032791,0.316968623,-0.034118576,0.123009762,0.341708336,pw01f18
43,0.050605319,0.014457723,0.03897079,0.002560898,0.065487758,74.0555876,15.9444124,52.4003919,37.5996081,0.198608001,0.056741456,0.152946586,0.25701632,pw01f19
30,0.053756205,-0.020490518,0.044208402,0.00288973,0.072553248,110.8655924,-20.8655924,50.56656701,39.43343299,0.219413084,-0.083634767,0.180442457,0.296135705,pw01f21
26,0.044790135,-0.015506204,0.044183177,0.002006156,0.064797775,109.0956929,-19.0956929,45.39085466,44.60914534,0.182816879,-0.06329063,0.180339496,0.264480715,pw01f22
41,0.051071248,0.004838264,0.027576747,0.002608272,0.058242236,84.58820296,5.411797041,61.63245389,28.36754611,0.208454072,0.019748016,0.11255815,0.237723414,pw01f26
69,-0.019936949,0.000513055,0.053763372,0.000397482,0.057343224,88.5258835,1.474116505,20.3461765,69.6538235,-0.0813753,0.002094101,0.219442335,0.234053975,pw01f28
99,-0.048409173,0.007753327,0.006119288,0.002343448,0.049406556,80.90065313,9.099346868,82.79558774,7.204412265,-0.197588461,0.031646234,0.024976686,0.201659413,pw02f02
22,0.022798671,-0.008876392,0.030004806,0.000519779,0.038715089,111.2728614,-21.27286145,37.22880305,52.77119695,0.075044998,-0.029217881,0.098764997,0.127436106,pw02f04
17,0.011180162,-0.01500108,0.042734275,0.000124996,0.046650259,143.3031892,-53.30318917,14.66114956,75.33885044,0.054325372,-0.072891545,0.207649538,0.226677643,pw02f05
41,0.020027787,-0.000584254,0.037511529,0.000401112,0.042527267,91.67096822,-1.670968216,28.09821263,61.90178737,0.09731675,-0.002838941,0.182271763,0.206643667,pw02f07
36,0.028496094,0.004318123,0.040022119,0.000812027,0.049319809,81.38330509,8.616694905,35.45119403,54.54880597,0.093798861,0.014213702,0.131738377,0.162343018,pw02f10
21,0.033285419,-0.007414678,0.064341147,0.001107919,0.072819502,102.558196,-12.55819602,27.35375051,62.64624949,0.109563592,-0.024406445,0.211787846,0.239695529,pw02f13
25,0.034668764,-0.004759162,0.022423583,0.001201923,0.041561881,97.81643596,-7.816435964,57.10541357,32.89458643,0.110550906,-0.0151759,0.071503773,0.132531507,pw02f17
34,0.046079587,-0.006245109,0.039299844,0.002123328,0.060883556,97.71819846,-7.718198459,49.54017142,40.45982858,0.146937458,-0.01991425,0.125318381,0.194143994,pw02f19
27,0.019879849,-0.001600329,0.039685976,0.000395208,0.044415607,94.60238959,-4.602389587,26.60760882,63.39239118,0.063392375,-0.00510309,0.126549668,0.141631399,pw02f20
100,-0.043056213,0.01301478,0.00918214,0.001853837,0.045907882,73.18129056,16.81870944,77.96147949,12.03852051,-0.137296596,0.041501211,0.029279782,0.14638993,pw02f21
20,0.02279611,0.001777402,0.040591123,0.000519663,0.046588207,85.54169456,4.458305437,29.31871116,60.68128884,0.080211505,0.006254054,0.142825909,0.163927541,pw02f22
25,0.041759567,-0.001542,0.043346777,0.001743861,0.060209486,92.1147241,-2.114724101,43.93157354,46.06842646,0.146937252,-0.005425756,0.152522086,0.21185604,pw02f23
