PercentStance,APAngle.Convert,MLAngle.Convert,InterpV.BW,InterpML.BW,InterpAP.BW,NetGRF.BW,Group,Species,Ind,Appendage,Trial,InterpV.N,InterpML.N,InterpAP.N,SquaredV.N,SquaredML.N,SquaredAP.N,NetGRF.N,APAngle,MLAngle
52,-7.255009563,-12.01855576,0.577103577,-0.12286251,-0.073468123,0.594593391,at_Pec,at,at07,Pec,at07f08,0.322370058,-0.068630998,-0.041039294,0.103922455,0.004710214,0.001684224,0.332139868,97.25500956,102.0185558
54,-1.806637597,-11.95662184,0.34737352,-0.073561689,-0.010956935,0.355246026,at_Pec,at,at07,Pec,at07f18,0.187234327,-0.039649751,-0.005905788,0.035056693,0.001572103,3.49E-05,0.191477608,91.8066376,101.9566218
60,-12.28408389,-2.887807753,0.449190067,-0.022659158,-0.097808569,0.460273473,at_Pec,at,at07,Pec,at07f19,0.242113446,-0.012213286,-0.052718819,0.058618921,0.000149164,0.002779274,0.248087402,102.2840839,92.88780775
38,-8.441539469,-5.0095452,0.35288608,-0.030932771,-0.052371132,0.358089594,at_Pec,at,at07,Pec,at07f27,0.197122164,-0.017279046,-0.029254514,0.038857148,0.000298565,0.000855827,0.200028847,98.44153947,95.0095452
49,-11.90653392,-5.832328386,0.452832136,-0.046255167,-0.095480633,0.465094652,at_Pec,at,at07,Pec,at07f33,0.252952031,-0.025838136,-0.053335482,0.06398473,0.000667609,0.002844674,0.259801872,101.9065339,95.83232839
52,-12.16547477,-13.27725577,0.379762315,-0.089612847,-0.081868016,0.398688162,at_Pec,at,at07,Pec,at07f34,0.212135229,-0.050057736,-0.045731474,0.045001356,0.002505777,0.002091368,0.222707207,102.1654748,103.2772558
62,-7.979855044,-10.69841489,0.433483984,-0.081895229,-0.060766787,0.445317634,at_Pec,at,at07,Pec,at07f36,0.242144154,-0.045746675,-0.033944327,0.058633791,0.002092758,0.001152217,0.248754431,97.97985504,100.6984149
61,-8.373385545,-6.590305294,0.512809585,-0.059246164,-0.075481749,0.521709951,at_Pec,at,at07,Pec,at07f40,0.276404366,-0.031933682,-0.040684662,0.076399374,0.00101976,0.001655242,0.281201663,98.37338555,96.59030529
58,-13.04725419,-4.714202048,0.471429104,-0.038876174,-0.109247593,0.485480992,at_Pec,at,at07,Pec,at07f41,0.254100287,-0.020954258,-0.058884453,0.064566956,0.000439081,0.003467379,0.261674255,103.0472542,94.71420205
54,12.24643699,-19.88857434,0.229030542,-0.082856245,0.049712491,0.248578918,pb_Pec,pb,pb01,Pec,pb01f02,0.056112483,-0.02029978,0.01217956,0.003148611,0.000412081,0.000148342,0.060901835,77.75356301,109.8885743
62,6.400040575,-11.4238655,0.357248984,-0.072188899,0.04007215,0.366665857,pb_Pec,pb,pb01,Pec,pb01f07,0.087526001,-0.01768628,0.009817677,0.007660801,0.000312805,9.64E-05,0.089833135,83.59995942,101.4238655
58,5.077029246,-9.879728479,0.466266069,-0.081206474,0.041424723,0.47509425,pb_Pec,pb,pb01,Pec,pb01f23,0.118804594,-0.02069141,0.010555019,0.014114532,0.000428134,0.000111408,0.121054015,84.92297075,99.87972848
60,7.26133687,-18.27809686,0.382121185,-0.126212464,0.048688789,0.405360067,pb_Pec,pb,pb01,Pec,pb01f27,0.097364478,-0.032158936,0.012405903,0.009479842,0.001034197,0.000153906,0.103285745,82.73866313,108.2780969
71,9.886693726,-15.95651084,0.436510735,-0.12480895,0.076078861,0.460333454,pb_Pec,pb,pb01,Pec,pb01f28,0.10694513,-0.030578193,0.018639321,0.011437261,0.000935026,0.000347424,0.112781696,80.11330627,105.9565108
66,7.112487109,-20.206681,0.329294576,-0.121200411,0.04108869,0.353288462,pb_Pec,pb,pb01,Pec,pb01f32,0.080677171,-0.029694101,0.010066729,0.006508806,0.00088174,0.000101339,0.086555673,82.88751289,110.206681
70,13.54621528,-18.43208051,0.349453344,-0.11646501,0.084194502,0.377849774,pb_Pec,pb,pb01,Pec,pb01f33,0.085616069,-0.028533927,0.020627653,0.007330111,0.000814185,0.0004255,0.092573195,76.45378472,108.4320805
64,6.565908509,-16.5073882,0.428441591,-0.126970278,0.049314062,0.449572603,pb_Pec,pb,pb01,Pec,pb01f35,0.10496819,-0.031107718,0.012081945,0.011018321,0.00096769,0.000145973,0.110145288,83.43409149,106.5073882
71,12.2975464,-17.04982678,0.389162933,-0.119349213,0.084833784,0.415798982,pb_Pec,pb,pb01,Pec,pb01f37,0.095344918,-0.029240557,0.020784277,0.009090653,0.00085501,0.000431986,0.101870751,77.7024536,107.0498268
63,7.171896587,-19.10174146,0.431205229,-0.149332876,0.054259022,0.459545753,pb_Pec,pb,pb01,Pec,pb01f40,0.131000149,-0.045367328,0.016483891,0.017161039,0.002058194,0.000271719,0.13961,82.82810341,109.1017415
79,6.976138976,-20.78127941,0.399080236,-0.15144717,0.048832196,0.429634569,pb_Pec,pb,pb02,Pec,pb02f02,0.082130713,-0.031167828,0.010049666,0.006745454,0.000971433,0.000100996,0.088418794,83.02386102,110.7812794
64,5.624999451,-15.48958405,0.423995685,-0.117501407,0.041759926,0.441953406,pb_Pec,pb,pb02,Pec,pb02f04,0.087258312,-0.02418179,0.008594193,0.007614013,0.000584759,7.39E-05,0.090954011,84.37500055,105.489584
69,7.065171828,-16.99759765,0.353612423,-0.108093955,0.043826488,0.372353072,pb_Pec,pb,pb02,Pec,pb02f09,0.107427454,-0.032838943,0.013314487,0.011540658,0.001078396,0.000177276,0.113120863,82.93482817,106.9975976
80,13.41086991,-7.136500946,0.376571011,-0.047148039,0.089787369,0.389987737,pb_Pec,pb,pb02,Pec,pb02f10,0.114402273,-0.014323574,0.027277403,0.01308788,0.000205165,0.000744057,0.118478275,76.58913009,97.13650095
63,3.993175627,-11.85673637,0.399633842,-0.083900948,0.027897289,0.409297978,pb_Pec,pb,pb02,Pec,pb02f12,0.125325173,-0.026311337,0.00874859,0.015706399,0.000692286,7.65E-05,0.128355846,86.00682437,101.8567364
70,4.324134895,-14.7170228,0.41571755,-0.10919348,0.031434069,0.430966818,pb_Pec,pb,pb02,Pec,pb02f14,0.130369024,-0.034243075,0.009857724,0.016996082,0.001172588,9.72E-05,0.135151194,85.6758651,104.7170228
64,4.890062389,-8.170296988,0.307131423,-0.044095798,0.02627679,0.311391426,pb_Pec,pb,pb02,Pec,pb02f15,0.096316414,-0.013828442,0.008240401,0.009276852,0.000191226,6.79E-05,0.097652351,85.10993761,98.17029699
67,9.936274216,-10.49725044,0.508001463,-0.09412729,0.088991899,0.524256608,pb_Pec,pb,pb02,Pec,pb02f16,0.159309259,-0.029518318,0.02790786,0.02537944,0.000871331,0.000778849,0.164406872,80.06372578,100.4972504
51,9.145347523,-10.16714142,0.482777974,-0.086579665,0.077720457,0.496599516,pb_Pec,pb,pb02,Pec,pb02f22,0.1372055,-0.024605941,0.022088154,0.018825349,0.000605452,0.000487887,0.141133583,80.85465248,100.1671414
31,17.28946189,-25.50132331,0.302955159,-0.144510788,0.094298902,0.348650942,pb_Pec,pb,pb02,Pec,pb02f23,0.086099856,-0.041069966,0.026799748,0.007413185,0.001686742,0.000718226,0.099086598,72.71053811,115.5013233
62,8.418063766,-9.952621323,0.387606616,-0.06801507,0.057361637,0.397687435,pb_Pec,pb,pb03,Pec,pb03f02,0.079769442,-0.013997501,0.011805025,0.006363164,0.00019593,0.000139359,0.081844074,81.58193623,99.95262132
71,21.80963625,-21.34870023,0.201879233,-0.078907166,0.08078532,0.231317603,pb_Pec,pb,pb03,Pec,pb03f08,0.055395662,-0.021652126,0.022167492,0.003068679,0.000468815,0.000491398,0.06347355,68.19036375,111.3487002
68,3.870399339,-20.57133828,0.38969657,-0.146254868,0.02636459,0.41707193,pb_Pec,pb,pb03,Pec,pb03f09,0.106932739,-0.040132336,0.007234443,0.011434611,0.001610604,5.23E-05,0.114444538,86.12960066,110.5713383
55,4.819408669,-19.3192523,0.405668677,-0.142216196,0.034203342,0.431233569,pb_Pec,pb,pb03,Pec,pb03f10,0.111315485,-0.039024124,0.009385397,0.012391137,0.001522882,8.81E-05,0.118330491,85.18059133,109.3192523
72,10.91061345,-18.40289507,0.432559274,-0.143917594,0.083380888,0.463435186,pb_Pec,pb,pb03,Pec,pb03f13,0.127172426,-0.042311773,0.024513981,0.016172826,0.001790286,0.000600935,0.136249945,79.08938655,108.4028951
61,20.98190257,-15.58799277,0.255048187,-0.071153121,0.097811407,0.282275425,pb_Pec,pb,pb03,Pec,pb03f16,0.074984167,-0.020919017,0.028756554,0.005622625,0.000437605,0.000826939,0.082988975,69.01809743,105.5879928
60,7.386556118,-11.58930113,0.373864111,-0.07667053,0.04846727,0.384710046,pb_Pec,pb,pb03,Pec,pb03f19,0.095260575,-0.019535651,0.01234946,0.009074577,0.000381642,0.000152509,0.09802412,82.61344388,101.5893011
41,22.08115161,-21.81453223,0.270628319,-0.108323235,0.109787072,0.31149127,pb_Pec,pb,pb03,Pec,pb03f22,0.068956096,-0.02760076,0.027973746,0.004754943,0.000761802,0.00078253,0.079367976,67.91884839,111.8145322
69,9.024529451,-26.19705834,0.475235017,-0.233814313,0.075478408,0.534990135,pb_Pec,pb,pb03,Pec,pb03f38,0.125747186,-0.061867267,0.019971587,0.015812355,0.003827559,0.000398864,0.14155839,80.97547055,116.1970583
67,11.4427813,-8.292702924,0.345778053,-0.050398589,0.069989807,0.356372071,pb_Pec,pb,pb03,Pec,pb03f39,0.088104248,-0.01284156,0.017833403,0.007762358,0.000164906,0.00031803,0.090803604,78.5572187,98.29270292
45,1.487499436,-11.25228841,0.391406442,-0.077871833,0.010163885,0.399207126,pb_Pec,pb,pb04,Pec,pb04f02,0.084387229,-0.016789167,0.002191334,0.007121204,0.000281876,4.80E-06,0.086069056,88.51250056,101.2522884
46,5.917855779,-18.40889698,0.401964487,-0.133785116,0.0416656,0.425687594,pb_Pec,pb,pb04,Pec,pb04f04,0.086663543,-0.028844071,0.008983103,0.00751057,0.00083198,8.07E-05,0.091778245,84.08214422,108.408897
32,14.17046757,-1.515773211,0.474575566,-0.012557937,0.119825837,0.489630372,pb_Pec,pb,pb04,Pec,pb04f05,0.102318492,-0.002707491,0.02583445,0.010469074,7.33E-06,0.000667419,0.105564308,75.82953243,91.51577321
51,8.160861916,-13.74221832,0.397727054,-0.097265941,0.057036047,0.413401237,pb_Pec,pb,pb04,Pec,pb04f06,0.085749953,-0.020970537,0.012296972,0.007353054,0.000439763,0.000151216,0.089129307,81.83913808,103.7422183
69,1.286833236,-13.20771491,0.455580497,-0.106920162,0.01023382,0.468070766,pb_Pec,pb,pb04,Pec,pb04f09,0.102687844,-0.024099804,0.002306703,0.010544793,0.000580801,5.32E-06,0.105503151,88.71316676,103.2077149
58,7.071991018,-15.16068751,0.328696112,-0.089062625,0.040778099,0.342981251,pb_Pec,pb,pb04,Pec,pb04f10,0.074088104,-0.020074716,0.009191384,0.005489047,0.000402994,8.45E-05,0.077307974,82.92800898,105.1606875
54,9.628138773,-15.91552061,0.274993034,-0.078414369,0.046650518,0.289734798,pb_Pec,pb,pb04,Pec,pb04f12,0.06198343,-0.017674599,0.010515027,0.003841946,0.000312391,0.000110566,0.065306223,80.37186123,105.9155206
54,3.528048026,-14.75769369,0.410610494,-0.108163682,0.025315778,0.425371894,pb_Pec,pb,pb04,Pec,pb04f14,0.092551605,-0.024380094,0.005706176,0.0085658,0.000594389,3.26E-05,0.095878825,86.47195197,104.7576937
65,4.039619935,-15.38621829,0.528018136,-0.145303791,0.037289552,0.54891425,pb_Pec,pb,pb04,Pec,pb04f22,0.11384071,-0.031327497,0.008039627,0.012959707,0.000981412,6.46E-05,0.118345912,85.96038007,105.3862183
59,-0.462530961,-12.322956,0.461656733,-0.100851222,-0.003726892,0.472558777,pb_Pec,pb,pb04,Pec,pb04f27,0.099533192,-0.021743524,-0.000803518,0.009906856,0.000472781,6.46E-07,0.101883672,90.46253096,102.322956
44,13.14252986,-23.70223895,0.45480579,-0.199666981,0.106192562,0.507929199,pb_Pec,pb,pb05,Pec,pb05f02,0.098056128,-0.043048201,0.022895116,0.009615004,0.001853148,0.000524186,0.109509535,76.85747014,113.7022389
30,-1.253398077,-17.55499786,0.516348772,-0.163349221,-0.011297408,0.541688705,pb_Pec,pb,pb05,Pec,pb05f04,0.111324795,-0.035218092,-0.002435721,0.01239321,0.001240314,5.93E-06,0.116788085,91.25339808,107.5549979
39,-4.127803066,-31.04699705,0.432991386,-0.260651099,-0.031248407,0.506356593,pb_Pec,pb,pb05,Pec,pb05f05,0.093352943,-0.056196377,-0.006737156,0.008714772,0.003158033,4.54E-05,0.109170481,94.12780307,121.046997
51,0.197891936,-23.91608304,0.442401833,-0.196194095,0.001528003,0.483956444,pb_Pec,pb,pb05,Pec,pb05f08,0.091046297,-0.040376745,0.000314463,0.008289428,0.001630282,9.89E-08,0.099598236,89.80210806,113.916083
35,6.635499909,-19.94700221,0.455661172,-0.165369949,0.05300792,0.487631175,pb_Pec,pb,pb05,Pec,pb05f09,0.093775069,-0.034033135,0.01090903,0.008793764,0.001158254,0.000119007,0.100354496,83.36450009,109.9470022
41,-7.258237813,-34.13966481,0.422228926,-0.286296965,-0.053775994,0.512966934,pb_Pec,pb,pb05,Pec,pb05f10,0.086894713,-0.058919915,-0.0110671,0.007550691,0.003471556,0.000122481,0.105568595,97.25823781,124.1396648
